source_reference,page_slug,html_context,local_file_exists,supabase_match,actually_rendered,current_behavior,recommended_action,reason
/images/Profile2-791x1024.jpg,organization-profile,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile2-768x994.jpg' exists in Supabase
/images/Profile2.jpg,organization-profile,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'Profile2-768x994.jpg' exists in Supabase
/images/S.Abdul-BaseedTreasurer-150x150.jpg,home,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'S.Abdul-BaseedTreasurer-1014x1024.jpg' exists in Supabase
/images/S.Abdul-BaseedTreasurer-297x300.jpg,home,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'S.Abdul-BaseedTreasurer-1014x1024.jpg' exists in Supabase
/images/S.Abdul-BaseedTreasurer-768x776.jpg,home,other,NO,YES,NO,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'S.Abdul-BaseedTreasurer-1014x1024.jpg' exists in Supabase
/images/S.Abdul-BaseedTreasurer.jpg,home,other,NO,YES,NO,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'S.Abdul-BaseedTreasurer-1014x1024.jpg' exists in Supabase
/images/rawpixel-557123-unsplash-1536x1024.jpg,corporate-partnerships,other,NO,YES,NO,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'rawpixel-557123-unsplash-1024x683.jpg' exists in Supabase
/images/rawpixel-557123-unsplash-300x200.jpg,corporate-partnerships,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'rawpixel-557123-unsplash-1024x683.jpg' exists in Supabase
/images/rawpixel-557123-unsplash-768x512.jpg,corporate-partnerships,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'rawpixel-557123-unsplash-1024x683.jpg' exists in Supabase
/images/rawpixel-557123-unsplash-pts61vf4fgdwgyb50948ogqchzekyta9lmk4ijdhnk.jpg,corporate-partnerships,other,NO,YES,NO,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'rawpixel-557123-unsplash-1024x683.jpg' exists in Supabase
/images/rawpixel-557123-unsplash.jpg,corporate-partnerships,other,NO,YES,NO,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'rawpixel-557123-unsplash-1024x683.jpg' exists in Supabase
/images/slider-1-300x250.jpg,disaster-response,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'slider-1-1024x853.jpg' exists in Supabase
/images/slider-1-768x640.jpg,disaster-response,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'slider-1-1024x853.jpg' exists in Supabase
/images/slider-1.jpg,disaster-response,srcset,NO,YES,YES,Produces 404 Not Found if requested directly by browser,MIGRATE TO SUPABASE,Local file missing (404); corresponding verified variant 'slider-1-1024x853.jpg' exists in Supabase
/images/team_6-150x150.jpg,health,srcset,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/team_6-300x300.jpg,health,srcset,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
/images/team_6.jpg,health,srcset,NO,NO,YES,Produces 404 Not Found if requested directly by browser,REMOVE AS DEAD/UNUSED LEGACY REFERENCE,Local file missing (404) and no corresponding image variant exists in Supabase 134-file scope
